audio_file,class,id,candidate1_ko,candidate1_en,candidate2_ko,candidate2_en,candidate3_ko,candidate3_en,candidate4_ko,candidate4_en,candidate5_ko,candidate5_en
10_ (1).mp3,10,1,타 드 드 드 드 부 르 릉,TA DEU DEU DEU DEU BU REU REUNG,크 쳐 져 져 저 저 저 트 릉,KEU CHYEO JYEO JYEO JEO JEO JEO TEU REUNG,부 르 드 르 르 릉 이 잉,BU REU DEU REU REU REUNG I ING,털 덜 덜 덜 덜 드 르 응,TEOL DEOL DEOL DEOL DEOL DEU REU EUNG,응 티 키 티 키 우 우 웅,EUNG TI KI TI KI U U UNG
10_ (1).wav,10,1,삐 요 오 오 오 오,PPI YO O O O O,브 즈 으 으 으 와 앙,BEU JEU EU EU EU WA ANG,부 와 아 아 아 앙,BU WA A A A ANG,위 리 리 리 에 에 엥 엥,WI RI RI RI E E ENG ENG,빠 아 아 앙 빠 아 아 아 앙 아 아 아 아 아 앙,PPA A A ANG PPA A A A ANG A A A A A ANG
10_ (10).mp3,10,10,타 드 드 드 드 타 르 르 릉,TA DEU DEU DEU DEU TA REU REU REUNG,크 쳐 져 져 정 트 르 르 릉,KEU CHYEO JYEO JYEO JEONG TEU REU REU REUNG,트 르 르 릉 부 르 르 르 릉,TEU REU REU REUNG BU REU REU REU REUNG,털 덜 덜 덜 부 르 응 으 응 응,TEOL DEOL DEOL DEOL BU REU EUNG EU EUNG EUNG,타 라 라 라 르 르 르 르 르 르 르 륵,TA RA RA RA REU REU REU REU REU REU REU REUK
10_ (10).wav,10,10,우 우 우 웅 드 르 르 릉,U U U UNG DEU REU REU REUNG,어 엉 부 와 아 아 아 앙,EO EONG BU WA A A A ANG,브 아 아 아 앙,BEU A A A ANG,르 르 릉 부 르 르 으 응,REU REU REUNG BU REU REU EU EUNG,부 앙 부 르 응,BU ANG BU REU EUNG
10_ (100).mp3,10,100,팅 티 기 팅 팅 부 릉,TING TI GI TING TING BU REUNG,터 텅 트 르 르 르 르 르,TEO TEONG TEU REU REU REU REU REU,부 르 릉 드 르 르 릉,BU REU REUNG DEU REU REU REUNG,털 털 커 커 커 엉 부 르 릉,TEOL TEOL KEO KEO KEO EONG BU REU REUNG,웅 둥 둥 쿠 우 웅,UNG DUNG DUNG KU U UNG
10_ (100).wav,10,100,우 웅 웅 우 우 우 웅,U UNG UNG U U U UNG,뾰 오 오 오 오 뵤 오 오 오 오 흐 억,PPYO O O O O BYO O O O O HEU EOK,뿌 아 아 아 아 앙 쌔 아 아 앙,PPU A A A A ANG SSAE A A ANG,바 아 아 앙 휘 이 이 잉 이 이 잉,BA A A ANG HWI I I ING I I ING,띠 오 오 이 오 오 오 오 옹,TTI O O I O O O O ONG
10_ (11).mp3,10,11,치 디 디 디 드 라 라 랑,CHI DI DI DI DEU RA RA RANG,컬 쳐 쳐 쳐 쳐 쳑 부 르 릉 턱,KEOL CHYEO CHYEO CHYEO CHYEO CHYEOK BU REU REUNG TEOK,타 다 다 닥 부 앙,TA DA DA DAK BU ANG,털 덜 덜 덜 드 르 르 릉,TEOL DEOL DEOL DEOL DEU REU REU REUNG,츠 가 창 창 창 드 르 르 르,CHEU GA CHANG CHANG CHANG DEU REU REU REU
10_ (11).wav,10,11,구 우 웅 부 우 우 웅,GU U UNG BU U U UNG,크 르 르 를 릉 부 르 르 르 릉,KEU REU REU REUL REUNG BU REU REU REU REUNG,브 르 르 릉 부 루 루 우 우 웅,BEU REU REU REUNG BU RU RU U U UNG,바 아 앙 바 아 아 앙 아 아 앙,BA A ANG BA A A ANG A A ANG,두 르 르 릉 투 우 우 웅,DU REU REU REUNG TU U U UNG
10_ (12).mp3,10,12,기 익 기 익 기 기 부 르 릉,GI IK GI IK GI GI BU REU REUNG,찌 찌 쯔 잉 트 렁,JJI JJI JJEU ING TEU REONG,뷔 잉 뷔 잉 뷔 이 부 우 우 웅,BWI ING BWI ING BWI I BU U U UNG,직 지 익 지 지 직 직 드 르 릉,JIK JI IK JI JI JIK JIK DEU REU REUNG,이 키 리 잉 뀍 긱 오 롸 라 라 랑,I KI RI ING KKWIK GIK O RWA RA RA RANG
10_ (12).wav,10,12,우 웅 우 우 우,U UNG U U U,쿠 쥬 우 우 부 우 우 우 웅,KU JYU U U BU U U U UNG,부 아 아 아 앙 부 아 아 앙,BU A A A ANG BU A A ANG,후 웅 위 이 이 잉 이 이 잉,HU UNG WI I I ING I I ING,부 애 애 애 애 애 애 애 앵,BU AE AE AE AE AE AE AE AENG
